n_deliveries,n_pickups,total_orders,delivery_weight,pickup_weight,delivery_ratio,weight_per_delivery,relative_demand,demand_concentration,total_compartments,utilization_ratio,large_size_share,size_weighted_demand,arrival_hour,overflowed,instance,source_pool
0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,9.085032467532468,0,17000_4_0.001,low
0.0,3.0,3.0,0.0,32.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,9.170941558441559,0,17000_4_0.001,low
1.0,4.0,5.0,13.0,42.0,0.2,13.0,1.7963636363636364,0.023636363636363636,69.0,0.014492753623188406,0.0,0.0,9.32693722943723,0,17000_4_0.001,low
1.0,1.0,2.0,13.0,3.0,0.5,13.0,1.7963636363636364,0.023636363636363636,70.0,0.014285714285714285,0.0,0.0,9.44042207792208,0,17000_4_0.001,low
2.0,1.0,3.0,6.0,3.0,0.6666666666666666,3.0,0.8290909090909091,0.01090909090909091,71.0,0.028169014084507043,0.0,2.0,9.520692640692642,0,17000_4_0.001,low
2.0,1.0,3.0,12.0,11.0,0.6666666666666666,6.0,1.6581818181818182,0.02181818181818182,71.0,0.028169014084507043,0.0,2.0,9.60172077922078,0,17000_4_0.001,low
1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.41454545454545455,0.005454545454545455,67.0,0.014925373134328358,0.0,0.0,9.696385281385282,0,17000_4_0.001,low
1.0,2.0,3.0,4.0,14.0,0.3333333333333333,4.0,0.5527272727272727,0.007272727272727273,66.0,0.015151515151515152,0.0,1.0,9.79813852813853,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,9.94770562770563,0,17000_4_0.001,low
0.0,2.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,9.994069264069266,0,17000_4_0.001,low
0.0,5.0,5.0,0.0,39.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,10.12235972494815,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,10.288560153672694,0,17000_4_0.001,low
0.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,10.414910635987807,0,17000_4_0.001,low
0.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,10.477188235130358,0,17000_4_0.001,low
1.0,1.0,2.0,14.0,2.0,0.5,14.0,1.9345454545454546,0.025454545454545455,72.0,0.013888888888888888,0.0,1.0,10.556936359460476,0,17000_4_0.001,low
1.0,1.0,2.0,5.0,2.0,0.5,5.0,0.6909090909090909,0.00909090909090909,71.0,0.014084507042253521,0.0,1.0,10.628956723876339,0,17000_4_0.001,low
1.0,1.0,2.0,3.0,16.0,0.5,3.0,0.41454545454545455,0.005454545454545455,67.0,0.014925373134328358,0.0,1.0,10.69107355131471,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,10.749621246920283,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,10.805200025055333,0,17000_4_0.001,low
2.0,3.0,5.0,7.0,27.0,0.4,3.5,0.9672727272727273,0.012727272727272728,69.0,0.028985507246376812,0.0,2.0,10.962193594187164,0,17000_4_0.001,low
1.0,1.0,2.0,2.0,10.0,0.5,2.0,0.27636363636363637,0.0036363636363636364,74.0,0.013513513513513514,0.0,0.0,11.10155742173711,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,11.155558473261822,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,11.214754056858038,0,17000_4_0.001,low
0.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,11.315148378624599,0,17000_4_0.001,low
0.0,4.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,11.366057947499469,0,17000_4_0.001,low
0.0,5.0,5.0,0.0,34.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,11.467714098919027,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,11.61269306842481,0,17000_4_0.001,low
1.0,3.0,4.0,12.0,38.0,0.25,12.0,1.6581818181818182,0.02181818181818182,67.0,0.014925373134328358,0.0,1.0,11.664980134670866,0,17000_4_0.001,low
4.0,1.0,5.0,54.0,1.0,0.8,13.5,7.461818181818182,0.09818181818181818,73.0,0.0547945205479452,0.0,3.0,11.782850797131434,0,17000_4_0.001,low
1.0,2.0,3.0,1.0,18.0,0.3333333333333333,1.0,0.13818181818181818,0.0018181818181818182,72.0,0.013888888888888888,0.0,1.0,11.900321880201886,0,17000_4_0.001,low
1.0,1.0,2.0,7.0,11.0,0.5,7.0,0.9672727272727273,0.012727272727272728,64.0,0.015625,0.0,0.0,11.98442808419768,0,17000_4_0.001,low
2.0,4.0,6.0,12.0,24.0,0.3333333333333333,6.0,1.6581818181818182,0.02181818181818182,72.0,0.027777777777777776,0.0,2.0,12.07161944222237,0,17000_4_0.001,low
0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,12.278779936049533,0,17000_4_0.001,low
2.0,0.0,2.0,26.0,0.0,1.0,13.0,3.5927272727272728,0.04727272727272727,67.0,0.029850746268656716,0.0,0.0,9.352305194805194,0,17000_4_0.001,low
1.0,2.0,3.0,3.0,21.0,0.3333333333333333,3.0,0.41454545454545455,0.005454545454545455,69.0,0.014492753623188406,0.0,0.0,9.440627705627705,0,17000_4_0.001,low
0.0,4.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,9.637207792207791,0,17000_4_0.001,low
