215 21 3
30 60 700 9.00
2 17 15  1
1 5  14  1
1 9  7   1
1 7  16  1
2 10 2   1
0 1  1   1
0 24 10  1
2 7  12  1
2 15 11  1
1 6  11  1
2 5  5   1
2 22 1   1
1 5  5   1
2 1  9   1
0 8  10  1
1 17 12  1
1 15 16  1
1 11 21  1
0 1  18  1
0 17 6   1
0 9  8   1
0 7  8   1
1 22 12  1
2 5  18  1
2 11 13  1
0 6  20  1
2 4  6   1
2 6  1   1
1 4  19  1
0 8  11  1
0 15 16  1
2 2  12  1
0 17 1   1
0 4  4   1
1 18 3   1
0 8  10  1
2 3  19  1
2 2  8   1
2 20 14  1
0 10 17  1
2 3  20  1
1 1  2   1
0 5  4   1
1 4  17  1
2 13 21  1
0 7  10  1
1 1  5   1
1 13 9   1
1 14 10  1
2 5  17  1
0 1  7   1
0 1  19  1
2 8  3   1
1 6  18  1
2 1  10  1
2 3  3   1
0 12 6   1
0 3  9   1
0 14 4   1
0 13 1   1
1 3  5   1
2 1  7   1
2 1  10  1
2 9  9   1
2 13 9   1
0 8  12  1
0 3  15  1
2 6  4   1
2 2  16  1
1 3  19  1
0 8  5   1
1 1  5   1
0 13 18  1
2 10 6   1
1 1  2   1
0 11 8   1
0 20 4   1
2 7  2   1
0 16 7   1
0 4  20  1
2 1  10  1
1 11 16  1
0 8  2   1
2 1  17  1
2 6  9   1
2 2  4   1
2 17 5   1
1 15 19  1
2 4  21  1
1 23 21  1
0 2  14  1
1 6  12  1
2 11 8   1
0 4  14  1
2 17 2   1
0 13 6   1
0 6  1   1
1 11 18  1
0 6  13  1
2 14 3   1
2 7  6   1
1 8  20  1
2 2  21  1
0 2  15  1
0 8  18  1
1 8  9   1
2 14 2   1
1 5  16  1
2 6  21  1
1 9  5   1
1 1  11  1
0 10 6   1
1 7  18  1
2 9  14  1
2 9  12  1
1 13 10  1
1 9  14  1
0 19 18  1
2 4  15  1
0 2  11  1
2 7  4   1
1 2  20  1
0 3  1   1
1 8  12  1
1 25 1   1
1 4  13  1
0 3  20  1
2 14 2   1
0 1  7   1
2 3  9   1
2 8  18  1
1 5  21  1
1 10 4   1
2 1  21  1
2 13 21  1
1 17 2   1
0 23 3   1
0 4  15  1
1 10 3   1
2 22 8   1
1 4  12  1
0 12 4   1
1 7  9   1
2 6  14  1
2 9  9   1
1 15 13  1
2 8  12  1
0 6  6   1
0 7  1   1
1 7  16  1
2 6  6   1
2 9  17  1
2 13 3   1
0 2  1   1
2 6  13  1
2 2  20  1
1 14 6   1
0 2  14  1
2 10 21  1
1 9  2   1
2 10 18  1
2 15 14  0
0 10 2   0
0 9  14  0
0 9  5   0
2 12 4   0
0 3  15  0
1 4  12  0
0 13 6   0
0 15 21  0
0 18 6   0
1 6  21  0
1 4  12  0
1 8  5   0
0 1  2   0
0 6  2   0
0 10 18  0
1 4  8   0
2 23 14  0
0 18 12  0
2 23 12  0
2 15 19  0
2 5  7   0
0 12 20  0
1 1  14  0
2 3  18  0
1 2  3   0
0 7  6   0
2 2  3   0
2 8  15  0
1 8  6   0
1 6  15  0
1 4  17  0
1 20 4   0
1 12 18  0
0 23 13  0
2 7  13  0
0 11 4   0
2 4  16  0
2 1  3   0
1 17 11  0
1 17 21  0
2 18 2   0
0 19 8   0
2 12 5   0
1 10 20  0
1 6  14  0
1 9  15  0
0 4  4   0
0 14 18  0
0 3  16  0
2 5  19  0
0 2  11  0
1 1  1   0
0 8  14  0
    0 49262 48396 47673 48148 47072 46603 47013 49340 45580 48405 48050 47600 46271 51358 47553 49281 49496 47084 46545 45885 49004 
49862     0  1828  2068  4013  3105  3099  5188   433  3909  1825  1932  2638  3798  2987  4211   686   234  4493  4435  4104   352 
48443  2458     0   650  2594  1686  1680  3769  2526  2490  1060  1246  1219  2379  3813  2792  2467  2692  3075  2852  2685  2200 
48411  3037  1897     0  2014  1977  1844  3189  3105  2645  1643  1825   639  2533  4397  2212  3046  3271  2494  2436  2552  2779 
48680  4047  3058  2448     0  2305  2172  2286  4115  2973  2804  2835  1800  2861  5557   595  4056  4281  1355  1966  2822  3789 
47619  3026  2159  1436  2305     0   856  3262  3104  1667  2169  1814  1667   806  5153  2504  3044  3260  2567  2028  1861  2768 
47008  3779  2790  2180  2170  1709     0  2406  3848  1056  2536  2568  1532   944  5290  2181  3788  4013  1711  1172  1251  3521 
47394  5286  4297  3687  2179  3468  2293     0  5355  2322  4043  4075  3039  2810  6797  1584  5295  5521  1385  1407  2262  5029 
49872   433  1465  2079  4023  3115  3109  5198     0  3920  1463  2365  2649  3808  2624  4222   323   503  4504  4281  4114   785 
46070  3836  2970  2247  2972  1646  1336  2416  3915     0  2979  2625  2334   846  5963  2529  3855  4071  2060  1521   861  3579 
48959  2007   552  1166  3110  2202  2196  4285  1644  3007     0  1762  1736  2895  3693  3309  1585  2077  3591  3368  3201  1848 
49178  1417  2097  1385  3329  2421  2415  4504  1850  3226  2106     0  1954  3114  4404  3528  2103  1652  3810  3751  3420  1160 
48214  2839  1851  1240  1566  1780  1646  2741  2908  2448  1597  1628     0  2336  4350  1764  2849  3074  2046  1987  2355  2582 
