1000 200 3
30 60 700 9.00
0 1 37 1
0 1 130 2
0 4 123 1
0 8 45 3
0 7 58 1
0 15 122 2
0 7 154 1
0 6 150 2
0 3 69 1
0 3 117 2
0 19 169 3
0 6 178 1
0 19 199 2
0 15 23 1
0 10 20 1
0 6 173 2
0 4 59 2
0 10 112 3
0 13 35 1
0 6 130 2
0 21 114 3
0 25 94 3
0 4 19 3
0 4 191 3
0 13 19 2
0 8 56 1
0 4 13 1
0 6 51 2
0 8 142 2
0 4 44 2
0 8 97 3
0 15 4 2
0 11 51 3
0 2 8 1
0 10 173 2
0 3 87 3
0 4 153 3
0 12 157 1
0 12 128 3
0 4 17 1
0 4 66 2
0 1 46 1
0 2 36 1
0 8 69 2
0 1 155 3
0 4 93 1
0 4 6 2
0 5 172 1
0 4 76 3
0 1 20 2
0 5 189 1
0 12 199 3
0 3 124 3
0 10 89 2
0 7 8 1
0 4 102 2
0 17 82 1
0 3 162 1
0 23 113 2
0 9 90 2
0 7 55 2
0 3 131 1
0 1 148 2
0 5 77 2
0 3 84 3
0 4 193 1
0 1 142 2
0 2 65 2
0 11 73 3
0 6 120 2
0 12 69 1
0 7 5 3
0 15 19 1
0 1 149 1
0 6 75 1
0 7 55 3
0 11 119 1
0 4 148 3
0 1 99 1
0 6 190 1
0 13 73 3
0 10 104 2
0 1 27 2
0 7 39 2
0 3 120 1
0 3 182 3
0 25 74 3
0 1 162 3
0 12 99 2
0 14 29 1
0 22 9 2
0 3 105 1
0 3 77 1
0 4 158 3
0 1 166 2
0 4 1 2
0 2 33 2
0 7 116 1
0 2 187 3
0 1 124 2
0 6 85 1
0 11 186 2
0 14 86 2
0 5 104 2
0 4 168 3
0 15 136 3
0 7 121 3
0 21 11 1
0 6 126 3
0 23 107 3
0 9 80 3
0 12 15 3
0 23 4 1
0 8 17 3
0 3 161 3
0 4 119 1
0 3 132 1
0 10 1 2
0 13 178 1
0 4 32 1
0 6 41 3
0 2 198 3
0 9 103 3
0 1 12 1
0 9 59 2
0 2 114 1
0 14 68 1
0 15 83 3
0 18 65 1
0 2 3 3
0 1 157 3
0 1 38 2
0 1 18 1
0 7 177 3
0 6 28 2
0 12 88 3
0 16 119 2
0 5 138 3
0 11 178 3
0 1 1 1
0 3 61 2
0 25 132 2
0 7 142 1
0 14 6 3
0 9 152 2
0 10 129 2
0 14 34 2
0 9 111 3
0 5 67 1
0 9 5 2
0 2 19 2
0 11 121 3
0 13 103 2
0 21 86 1
0 13 110 3
0 1 193 1
0 18 47 2
0 15 181 1
0 8 66 1
0 14 62 1
0 3 18 1
0 7 131 3
0 12 2 2
0 12 198 2
0 5 26 1
0 3 52 3
0 14 11 2
0 10 33 1
0 8 110 2
0 6 122 2
0 11 71 1
0 24 48 2
0 18 175 2
0 2 35 2
0 6 7 1
0 11 106 1
0 3 20 1
0 6 101 3
0 3 97 3
0 7 48 1
0 2 43 2
0 9 68 3
0 21 38 3
0 7 140 3
0 4 173 3
0 6 162 1
0 10 48 2
0 9 144 2
0 2 97 2
0 16 49 3
0 3 10 2
0 2 158 1
0 1 73 2
0 4 80 1
0 3 75 3
0 10 134 2
0 4 82 3
0 1 158 3
0 3 22 1
0 7 117 1
0 23 39 2
0 8 1 3
0 1 52 1
0 2 163 2
0 9 146 2
0 10 110 3
0 6 193 1
0 1 175 2
0 5 139 3
0 5 96 3
0 1 95 1
0 3 70 3
0 10 39 1
0 6 124 1
0 6 152 3
0 6 110 2
0 6 58 2
0 1 153 3
0 3 72 3
0 3 62 3
0 12 27 3
0 24 59 2
0 13 138 3
0 8 6 3
0 8 159 2
0 2 29 3
0 9 87 1
0 19 94 2
0 20 144 1
0 6 153 3
0 7 82 1
0 15 187 2
0 1 91 2
0 11 151 2
0 5 167 1
0 5 112 2
0 5 88 1
0 1 46 2
0 1 148 1
0 9 105 1
0 25 50 3
0 22 154 2
0 9 116 2
0 15 161 2
0 7 180 2
0 1 199 1
0 14 179 2
0 3 189 3
0 1 147 1
0 7 77 2
0 1 155 1
0 7 156 3
0 6 185 3
0 10 152 1
0 9 163 2
0 10 129 3
0 19 76 2
0 17 29 1
0 6 48 3
0 9 80 3
0 4 172 3
0 1 35 3
0 21 196 2
0 3 113 3
0 14 22 1
0 8 146 3
0 2 53 1
0 2 97 1
0 2 122 1
0 4 117 1
0 13 53 2
0 3 162 3
0 3 86 2
0 16 197 3
0 3 161 3
0 11 29 1
0 19 99 3
0 10 102 2
0 4 169 3
0 1 191 2
0 10 162 3
0 23 128 2
0 7 74 1
0 20 96 1
0 7 125 1
0 2 79 2
0 9 132 3
0 7 10 1
0 7 144 2
0 3 37 1
0 7 32 2
0 3 6 3
0 4 151 2
0 2 107 2
0 16 152 1
0 4 10 2
0 13 9 1
0 4 27 1
0 5 105 2
0 3 114 2
0 6 46 1
0 1 59 1
0 9 162 1
0 2 75 3
0 2 64 1
0 22 16 1
0 19 76 1
0 11 40 3
0 3 146 1
0 2 7 1
0 6 47 1
0 2 165 3
0 5 60 2
0 20 80 3
0 2 127 1
0 19 159 2
0 19 153 2
0 7 199 2
0 4 37 1
0 15 36 3
0 8 98 1
0 19 63 2
0 19 119 1
0 17 83 1
0 6 119 2
0 5 80 3
0 6 61 3
0 15 88 3
0 3 74 2
0 2 186 1
0 3 75 2
0 6 87 1
0 5 119 3
0 15 163 3
0 12 47 3
0 22 123 2
0 5 33 1
0 6 169 2
0 3 180 2
0 4 20 3
0 19 115 2
0 25 175 2
0 5 64 1
0 9 49 2
0 10 93 1
0 11 37 3
0 4 42 1
0 16 33 3
0 10 7 2
0 10 190 1
0 3 64 3
0 2 161 3
0 11 91 3
0 2 98 1
0 2 13 2
0 21 46 2
0 5 36 1
0 8 43 1
0 4 69 3
0 19 11 2
0 2 67 1
0 1 163 3
0 15 62 2
0 2 120 1
0 1 197 2
0 12 41 1
0 1 137 3
0 14 144 2
0 12 179 2
0 1 170 3
0 1 49 3
0 12 82 1
0 3 60 1
0 9 49 2
0 10 170 3
0 11 55 1
0 22 196 2
0 10 90 3
0 8 3 2
0 1 186 3
0 9 17 1
0 12 86 3
0 1 181 2
0 11 92 3
0 1 133 1
0 16 37 1
0 5 136 3
0 8 43 1
0 8 159 2
0 2 139 2
0 13 194 1
0 20 107 1
0 13 128 3
0 10 32 1
0 7 159 1
0 7 23 2
0 8 150 2
0 1 113 1
0 10 81 1
0 6 53 1
0 1 1 1
0 4 92 3
0 5 157 1
0 8 123 2
0 4 157 2
0 7 144 3
0 12 177 2
0 4 175 2
0 15 126 1
0 5 128 2
0 6 17 2
0 3 146 3
0 1 2 3
0 14 141 2
0 1 62 3
0 22 125 1
0 21 131 3
0 2 123 1
0 13 196 3
0 1 182 3
0 1 77 3
0 7 34 3
0 6 63 3
0 16 124 2
0 4 30 2
0 25 76 1
0 4 178 1
0 1 47 2
0 2 104 3
0 2 102 3
0 10 48 3
0 2 153 3
0 1 50 1
0 25 162 2
0 2 111 3
0 1 108 3
0 17 151 2
0 19 166 2
0 23 89 3
0 2 76 1
0 19 23 3
0 2 105 2
0 6 124 3
0 3 21 2
0 3 158 2
0 14 171 2
0 3 114 1
0 10 103 2
0 12 90 2
0 6 197 3
0 16 26 2
0 2 165 3
0 15 182 1
0 9 126 2
0 4 153 1
0 9 156 3
0 12 96 1
0 8 155 1
0 2 29 2
0 4 49 3
0 22 108 3
0 1 43 1
0 3 165 1
0 19 166 1
0 22 141 2
0 20 173 2
0 1 120 1
0 9 160 3
0 16 80 1
0 10 97 1
0 9 181 1
0 18 156 3
0 11 134 1
0 8 61 2
0 6 69 1
0 22 16 2
0 15 162 1
0 8 180 1
0 7 62 1
0 16 129 3
0 8 159 2
0 9 97 2
0 5 99 3
0 10 140 3
0 12 112 2
0 10 110 2
0 5 97 3
0 2 87 1
0 9 155 1
0 11 25 2
0 10 21 3
0 15 57 2
0 7 148 3
0 17 26 2
0 6 28 1
0 11 40 3
0 5 110 2
0 13 10 2
0 16 106 2
0 3 157 1
0 4 149 1
0 25 149 2
0 2 44 2
0 14 42 3
0 3 31 2
0 4 150 1
0 4 27 2
0 13 46 3
0 14 23 2
0 4 171 3
0 5 111 1
0 8 68 3
0 4 44 3
0 3 148 2
0 1 68 1
0 18 149 1
0 6 14 1
0 9 108 1
0 7 136 2
0 15 108 1
0 3 39 3
0 7 8 3
0 16 103 3
0 2 179 2
0 4 6 2
0 14 192 3
0 3 126 2
0 17 148 3
0 11 47 2
0 13 84 1
0 7 192 2
0 11 175 3
0 1 105 2
0 7 116 2
0 1 92 1
0 9 27 2
0 8 4 3
0 3 160 3
0 8 16 2
0 4 68 1
0 3 40 1
0 6 112 1
0 15 117 3
0 6 116 1
0 10 179 1
0 12 111 2
0 8 45 2
0 1 98 3
0 14 125 1
0 3 178 3
0 1 189 1
0 21 59 2
0 1 158 3
0 12 49 2
0 8 91 1
0 4 144 3
0 7 128 3
0 4 181 1
0 19 13 1
0 4 90 2
0 6 32 1
0 7 77 3
0 11 49 3
0 13 151 1
0 13 74 1
0 6 42 3
0 22 32 1
0 12 162 2
0 5 114 3
0 16 167 3
0 3 160 2
0 12 53 3
0 8 139 1
0 1 88 2
0 16 187 3
0 4 98 2
0 10 21 2
0 11 17 2
0 2 140 2
0 8 126 1
0 8 125 2
0 8 36 3
0 13 51 3
0 4 24 3
0 2 163 3
0 24 197 1
0 3 51 1
0 8 59 3
0 2 90 3
0 6 184 3
0 7 112 1
0 1 110 2
0 11 59 2
0 4 102 3
0 2 30 1
0 5 25 2
0 1 33 2
0 3 162 3
0 1 164 1
0 5 155 3
1 8 38 3
1 15 55 2
1 6 19 3
1 19 8 2
1 10 149 3
1 14 3 2
1 4 141 2
1 4 186 2
1 6 61 1
1 2 71 2
1 13 137 2
1 1 82 3
1 25 108 2
1 23 147 2
1 12 120 3
1 9 125 1
1 8 3 2
1 4 91 1
1 2 158 3
1 15 110 2
