phase,instance,n_orders,n_nodes,n_active,capacity,std_dist_km,std_n_routes,std_elapsed_s,std_makespan_h,std_fallback_km,std_n_fallbacks,std_effective_km,c_time_dist_km,c_time_n_routes,c_time_elapsed_s,c_time_makespan_h,c_time_fallback_km,c_time_n_fallbacks,c_time_effective_km,c_full_dist_km,c_full_n_routes,c_full_elapsed_s,c_full_makespan_h,c_full_fallback_km,c_full_n_fallbacks,c_full_effective_km,time_vs_std_effective_improvement_pct,time_vs_std_fallback_km_avoided,time_vs_std_makespan_delta_h,ml_vs_time_effective_improvement_pct,ml_vs_time_fallback_km_avoided,ml_vs_time_makespan_delta_h,full_vs_std_effective_improvement_pct,full_vs_std_fallback_km_avoided,full_vs_std_makespan_delta_h
low,17900_4_0.002,419,81,81,700.0,175.588,6,0.039,11.767,0.0,0,175.588,175.493,6,0.055,11.767,0.0,0,175.493,174.802,6,0.072,11.822,0.0,0,174.802,0.054,0.0,0.0,0.394,0.0,0.055,0.448,0.0,0.055
low,1200_0_0.002,3588,949,928,700.0,5875.46,48,2.342,13.394,0.0,0,5875.46,5965.55,49,2.498,13.389,0.0,0,5965.55,5965.921,49,2.695,13.394,0.0,0,5965.921,-1.533,0.0,-0.005,-0.006,0.0,0.005,-1.54,0.0,0.0
low,4600_1_0.001,642,375,311,700.0,476.552,9,0.309,12.622,0.0,0,476.552,472.665,9,0.345,12.595,0.0,0,472.665,472.959,9,0.379,12.623,0.0,0,472.959,0.816,0.0,-0.027,-0.062,0.0,0.028,0.754,0.0,0.001
low,26800_6_0.003,215,46,46,700.0,159.701,3,0.02,11.66,0.0,0,159.701,159.701,3,0.023,11.66,0.0,0,159.701,159.903,3,0.03,11.66,0.0,0,159.903,0.0,0.0,0.0,-0.126,0.0,0.0,-0.126,0.0,0.0
low,3700_0_0.004,7177,949,948,700.0,5806.57,92,2.135,12.214,0.0,0,5806.57,5801.742,92,2.242,12.214,0.0,0,5801.742,5787.436,92,2.331,12.361,0.0,0,5787.436,0.083,0.0,0.0,0.247,0.0,0.147,0.33,0.0,0.147
low,3200_0_0.004,7177,949,949,700.0,5983.492,95,2.131,12.237,0.0,0,5983.492,6039.225,96,2.286,12.237,0.0,0,6039.225,6017.787,95,2.36,12.266,0.0,0,6017.787,-0.931,0.0,0.0,0.355,0.0,0.029,-0.573,0.0,0.029
low,28100_6_0.004,286,46,46,700.0,201.722,4,0.017,11.553,0.0,0,201.722,201.722,4,0.025,11.553,0.0,0,201.722,201.652,4,0.029,11.553,0.0,0,201.652,0.0,0.0,0.0,0.035,0.0,0.0,0.035,0.0,0.0
low,20400_5_0.001,72,21,20,700.0,114.198,1,0.013,12.516,0.0,0,114.198,114.198,1,0.007,12.516,0.0,0,114.198,114.198,1,0.011,12.516,0.0,0,114.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,24600_6_0.001,72,46,41,700.0,78.828,1,0.017,12.127,0.0,0,78.828,79.232,1,0.038,12.139,0.0,0,79.232,78.828,1,0.043,12.127,0.0,0,78.828,-0.513,0.0,0.012,0.51,0.0,-0.012,0.0,0.0,0.0
low,16500_4_0.001,209,81,79,700.0,135.281,3,0.068,12.271,0.0,0,135.281,129.722,3,0.079,12.091,0.0,0,129.722,129.872,3,0.084,12.095,0.0,0,129.872,4.109,0.0,-0.18,-0.116,0.0,0.004,3.998,0.0,-0.176
low,11200_2_0.004,2689,300,300,700.0,829.292,35,0.367,11.491,0.0,0,829.292,841.124,36,0.531,11.38,0.0,0,841.124,834.639,35,0.346,11.405,0.0,0,834.639,-1.427,0.0,-0.111,0.771,0.0,0.025,-0.645,0.0,-0.086
