phase,instance,n_orders,n_nodes,n_active,capacity,std_dist_km,std_n_routes,std_elapsed_s,std_makespan_h,std_fallback_km,std_n_fallbacks,std_effective_km,std_stoch_fail_rate,std_stoch_n_failed_lockers,d_time_dist_km,d_time_n_routes,d_time_elapsed_s,d_time_makespan_h,d_time_fallback_km,d_time_n_fallbacks,d_time_effective_km,d_time_stoch_fail_rate,d_time_stoch_n_failed_lockers,d_full_dist_km,d_full_n_routes,d_full_elapsed_s,d_full_makespan_h,d_full_fallback_km,d_full_n_fallbacks,d_full_effective_km,d_full_stoch_fail_rate,d_full_stoch_n_failed_lockers,time_vs_std_effective_improvement_pct,time_vs_std_fallback_km_avoided,time_vs_std_n_fallbacks_avoided,time_vs_std_makespan_delta_h,time_vs_std_stoch_failed_lockers_avoided,ml_vs_time_effective_improvement_pct,ml_vs_time_fallback_km_avoided,ml_vs_time_n_fallbacks_avoided,ml_vs_time_makespan_delta_h,ml_vs_time_stoch_failed_lockers_avoided,full_vs_std_effective_improvement_pct,full_vs_std_fallback_km_avoided,full_vs_std_n_fallbacks_avoided,full_vs_std_makespan_delta_h,full_vs_std_stoch_failed_lockers_avoided
low,17900_4_0.002,419,81,81,700.0,173.372,6,0.211,11.746,0.0,0,173.372,0.0,0.0,174.21,6,0.25,11.746,0.0,0,174.21,0.0,0.0,173.318,6,0.665,11.746,0.0,0,173.318,0.0,0.0,-0.483,0.0,0,0.0,0.0,0.512,0.0,0,0.0,0.0,0.031,0.0,0,0.0,0.0
low,1200_0_0.002,3588,949,928,700.0,5963.704,49,11.662,13.394,0.0,0,5963.704,0.0,0.0,5956.415,49,12.076,13.335,0.0,0,5956.415,0.0,0.0,5962.066,49,17.082,13.394,0.0,0,5962.066,0.0,0.0,0.122,0.0,0,-0.059,0.0,-0.095,0.0,0,0.059,0.0,0.027,0.0,0,0.0,0.0
low,4600_1_0.001,642,375,311,700.0,472.192,9,1.634,12.601,0.0,0,472.192,0.0,0.0,472.043,9,1.782,12.623,0.0,0,472.043,0.0,0.0,473.02,9,1.885,12.614,0.0,0,473.02,0.0,0.0,0.032,0.0,0,0.022,0.0,-0.207,0.0,0,-0.009,0.0,-0.175,0.0,0,0.013,0.0
low,26800_6_0.003,215,46,46,700.0,159.701,3,0.085,11.66,0.0,0,159.701,0.0,0.0,159.701,3,0.106,11.66,0.0,0,159.701,0.0,0.0,159.701,3,0.224,11.66,0.0,0,159.701,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,3700_0_0.004,7177,949,948,700.0,5775.243,92,12.209,12.214,0.0,0,5775.243,0.0,0.0,5724.78,91,12.482,12.214,0.0,0,5724.78,0.0,0.0,5776.432,92,14.293,12.214,0.0,0,5776.432,0.0,0.0,0.874,0.0,0,0.0,0.0,-0.902,0.0,0,0.0,0.0,-0.021,0.0,0,0.0,0.0
low,3200_0_0.004,7177,949,949,700.0,6023.974,96,10.776,12.237,0.0,0,6023.974,0.0,0.0,6005.332,95,11.057,12.237,0.0,0,6005.332,0.0,0.0,5953.38,94,12.889,12.266,0.0,0,5953.38,0.0,0.0,0.309,0.0,0,0.0,0.0,0.865,0.0,0,0.029,0.0,1.172,0.0,0,0.029,0.0
low,28100_6_0.004,286,46,46,700.0,201.722,4,0.081,11.553,0.0,0,201.722,0.0,0.0,201.652,4,0.113,11.553,0.0,0,201.652,0.0,0.0,201.722,4,0.194,11.553,0.0,0,201.722,0.0,0.0,0.035,0.0,0,0.0,0.0,-0.035,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,20400_5_0.001,72,21,20,700.0,114.198,1,0.026,12.516,0.0,0,114.198,0.0,0.0,114.198,1,0.038,12.516,0.0,0,114.198,0.0,0.0,114.198,1,0.12,12.516,0.0,0,114.198,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,24600_6_0.001,72,46,41,700.0,78.828,1,0.071,12.127,0.0,0,78.828,0.0,0.0,78.828,1,0.095,12.127,0.0,0,78.828,0.0,0.0,78.828,1,0.188,12.127,0.0,0,78.828,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,16500_4_0.001,209,81,79,700.0,129.626,3,0.166,12.091,0.0,0,129.626,0.0,0.0,129.872,3,0.209,12.095,0.0,0,129.872,0.0,0.0,129.776,3,0.306,12.095,0.0,0,129.776,0.0,0.0,-0.19,0.0,0,0.004,0.0,0.074,0.0,0,0.0,0.0,-0.116,0.0,0,0.004,0.0
low,11200_2_0.004,2689,300,300,700.0,832.813,35,1.364,11.447,0.0,0,832.813,0.0,0.0,835.525,35,1.576,11.541,0.0,0,835.525,0.0,0.0,832.643,35,1.591,11.56,0.0,0,832.643,0.0,0.0,-0.326,0.0,0,0.094,0.0,0.345,0.0,0,0.019,0.0,0.02,0.0,0,0.113,0.0
low,27300_6_0.004,286,46,46,700.0,201.313,4,0.08,11.643,0.0,0,201.313,0.0,0.0,200.949,4,0.097,11.657,0.0,0,200.949,0.0,0.0,201.193,4,0.203,11.643,0.0,0,201.193,0.0,0.0,0.181,0.0,0,0.014,0.0,-0.121,0.0,0,-0.014,0.0,0.06,0.0,0,0.0,0.0
low,26200_6_0.003,215,46,46,700.0,160.734,3,0.081,11.912,0.0,0,160.734,0.0,0.0,160.666,3,0.106,11.912,0.0,0,160.666,0.0,0.0,160.702,3,0.197,11.876,0.0,0,160.702,0.0,0.0,0.042,0.0,0,0.0,0.0,-0.022,0.0,0,-0.036,0.0,0.02,0.0,0,-0.036,0.0
low,20700_5_0.001,72,21,21,700.0,114.268,1,0.031,12.425,0.0,0,114.268,0.0,0.0,114.268,1,0.04,12.425,0.0,0,114.268,0.0,0.0,114.268,1,0.123,12.425,0.0,0,114.268,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,1100_0_0.001,1794,949,814,700.0,1971.902,26,7.945,13.679,0.0,0,1971.902,0.0,0.0,1973.561,26,10.459,12.836,0.0,0,1973.561,0.0,0.0,2009.105,26,9.921,12.937,0.0,0,2009.105,0.0,0.0,-0.084,0.0,0,-0.843,0.0,-1.801,0.0,0,0.101,0.0,-1.887,0.0,0,-0.742,0.0
low,25500_6_0.002,143,46,43,700.0,122.851,2,0.08,11.822,0.0,0,122.851,0.0,0.0,122.851,2,0.099,11.822,0.0,0,122.851,0.0,0.0,122.851,2,0.202,11.822,0.0,0,122.851,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,27600_6_0.004,286,46,46,700.0,199.711,4,0.084,11.777,0.0,0,199.711,0.0,0.0,200.115,4,0.101,11.777,0.0,0,200.115,0.0,0.0,199.711,4,0.192,11.777,0.0,0,199.711,0.0,0.0,-0.202,0.0,0,0.0,0.0,0.202,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,3900_0_0.004,7177,949,948,700.0,6715.613,96,11.433,12.446,0.0,0,6715.613,0.0,0.0,6717.18,96,11.638,12.562,0.0,0,6717.18,0.0,0.0,6688.901,95,15.033,12.562,0.0,0,6688.901,0.0,0.0,-0.023,0.0,0,0.116,0.0,0.421,0.0,0,0.0,0.0,0.398,0.0,0,0.116,0.0
low,5000_1_0.001,642,375,303,700.0,518.897,10,1.712,12.644,0.0,0,518.897,0.0,0.0,513.548,9,1.95,12.601,0.0,0,513.548,0.0,0.0,507.92,9,2.023,12.449,0.0,0,507.92,0.0,0.0,1.031,0.0,0,-0.043,0.0,1.096,0.0,0,-0.152,0.0,2.115,0.0,0,-0.195,0.0
low,29800_7_0.002,139,29,29,700.0,248.067,2,0.056,12.77,0.0,0,248.067,0.0,0.0,248.067,2,0.07,12.77,0.0,0,248.067,0.0,0.0,248.067,2,0.179,12.77,0.0,0,248.067,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,22600_5_0.003,215,21,21,700.0,303.722,3,0.035,12.401,0.0,0,303.722,0.0,0.0,303.722,3,0.048,12.401,0.0,0,303.722,0.0,0.0,303.722,3,0.137,12.401,0.0,0,303.722,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
low,14700_3_0.003,653,39,39,700.0,198.847,9,0.077,11.504,0.0,0,198.847,0.0,0.0,199.43,9,0.092,11.504,0.0,0,199.43,0.0,0.0,198.817,9,0.204,11.504,0.0,0,198.817,0.0,0.0,-0.293,0.0,0,0.0,0.0,0.307,0.0,0,0.0,0.0,0.015,0.0,0,0.0,0.0
low,5200_1_0.002,1284,375,362,700.0,753.231,17,2.185,12.248,0.0,0,753.231,0.0,0.0,753.447,17,2.466,12.248,0.0,0,753.447,0.0,0.0,753.466,17,2.621,12.251,0.0,0,753.466,0.0,0.0,-0.029,0.0,0,0.0,0.0,-0.003,0.0,0,0.003,0.0,-0.031,0.0,0,0.003,0.0
low,18300_4_0.003,628,81,81,700.0,205.051,8,0.213,11.732,0.0,0,205.051,0.0,0.0,205.201,8,0.269,11.737,0.0,0,205.201,0.0,0.0,205.212,8,0.377,11.732,0.0,0,205.212,0.0,0.0,-0.073,0.0,0,0.005,0.0,-0.005,0.0,0,-0.005,0.0,-0.079,0.0,0,0.0,0.0
low,16200_4_0.001,209,81,76,700.0,129.277,3,0.187,12.658,0.0,0,129.277,0.0,0.0,129.277,3,0.239,12.658,0.0,0,129.277,0.0,0.0,129.145,3,0.346,12.658,0.0,0,129.145,0.0,0.0,0.0,0.0,0,0.0,0.0,0.102,0.0,0,0.0,0.0,0.102,0.0,0,0.0,0.0
high,B_m100_pf0.2_occ0.75_d5.0_s1,500,100,99,700.0,235.972,7,0.268,11.905,9.203,8,245.175,0.0156,1.5,236.923,7,0.347,12.019,9.203,8,246.126,0.0187,1.8,233.145,7,0.471,12.238,9.203,8,242.348,0.0187,1.8,-0.388,0.0,0,0.114,-0.3,1.535,0.0,0,0.219,0.0,1.153,0.0,0,0.333,-0.3
high,B_m50_pf0.4_occ0.75_d5.0_s1,250,50,50,700.0,145.068,4,0.106,12.502,5.342,3,150.41,0.0194,0.933,145.068,4,0.141,12.375,5.342,3,150.41,0.0278,1.333,145.068,4,0.251,12.375,5.342,3,150.41,0.0278,1.333,0.0,0.0,0,-0.127,-0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-0.127,-0.4
high,B_m15_pf0.0_occ0.75_d5.0_s1,75,15,15,700.0,64.234,1,0.018,12.317,3.99,2,68.224,0.0133,0.2,64.234,1,0.024,12.317,3.99,2,68.224,0.0133,0.2,64.234,1,0.112,12.317,3.99,2,68.224,0.0133,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
high,B_m15_pf0.2_occ0.7_d9.0_s1,135,15,15,700.0,84.185,2,0.016,11.825,12.511,11,96.696,0.1156,1.733,84.185,2,0.023,11.825,12.511,11,96.696,0.1156,1.733,84.185,2,0.126,11.955,10.074,5,94.259,0.0111,0.167,0.0,0.0,0,0.0,0.0,2.52,2.437,6,0.13,1.566,2.52,2.437,6,0.13,1.566
high,B_m100_pf0.0_occ0.75_d9.0_s1,900,100,100,700.0,392.981,12,0.322,11.768,124.605,85,517.586,0.177,17.7,393.223,11,0.35,11.979,109.148,80,502.371,0.1727,17.267,391.792,12,0.467,11.979,109.148,80,500.94,0.172,17.2,2.94,15.457,5,0.211,0.433,0.285,0.0,0,0.0,0.067,3.216,15.457,5,0.211,0.5
high,B_m30_pf0.2_occ0.7_d5.0_s0,150,30,30,700.0,127.278,2,0.055,12.498,4.787,2,132.065,0.0115,0.333,127.278,2,0.072,12.498,4.787,2,132.065,0.0115,0.333,127.278,2,0.18,12.498,4.787,2,132.065,0.0115,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
high,B_m100_pf0.4_occ0.8_d7.0_s1,700,100,100,700.0,256.874,10,0.298,11.393,58.622,52,315.496,0.1387,13.733,257.136,10,0.336,11.393,58.328,51,315.464,0.1444,14.3,257.767,10,0.479,11.393,59.999,49,317.766,0.1367,13.533,0.01,0.294,1,0.0,-0.567,-0.73,-1.671,2,0.0,0.767,-0.72,-1.377,3,0.0,0.2
high,B_m50_pf0.0_occ0.8_d7.0_s1,350,50,50,700.0,170.75,5,0.121,11.544,67.076,31,237.826,0.1627,8.133,170.771,5,0.138,11.496,62.418,31,233.189,0.146,7.3,169.942,5,0.258,11.544,76.085,35,246.027,0.1653,8.267,1.95,4.658,0,-0.048,0.833,-5.505,-13.667,-4,0.048,-0.967,-3.448,-9.009,-4,0.0,-0.134
high,B_m50_pf0.4_occ0.75_d7.0_s1,350,50,50,700.0,189.474,5,0.118,11.889,29.401,19,218.875,0.12,6.0,190.066,5,0.135,12.155,26.482,15,216.548,0.0807,4.033,188.426,5,0.24,11.889,29.401,19,217.827,0.1307,6.533,1.063,2.919,4,0.266,1.967,-0.591,-2.919,-4,-0.266,-2.5,0.479,0.0,0,0.0,-0.533
high,B_m400_pf0.2_occ0.8_d9.0_s0,3600,400,400,700.0,1134.955,45,2.603,11.474,312.274,460,1447.229,0.2513,100.533,1134.206,45,2.884,11.474,312.919,452,1447.125,0.2481,99.233,1137.3,45,3.125,11.475,292.77,424,1430.07,0.2365,94.6,0.007,-0.645,8,0.0,1.3,1.179,20.149,28,0.001,4.633,1.186,19.504,36,0.001,5.933
